name,degree,strength,community
Bobbio N,7,7,12
Joyce J,7,7,12
Short T,6,8,12
Misak C,6,9,12
Preti G,6,7,12
Papi F,6,6,12
Humphrey N,6,7,12
Bakhtin M,19,32,13
Shpet G,17,26,13
Molchanov V,14,15,13
Shchedrina T,10,10,13
Bacon F,9,10,13
Miller D,8,8,13
Haardt A,7,9,13
Shestov L,7,11,13
Turner V,7,8,13
Losev A,6,14,13
Chernyakov A,6,6,13
Hick J,6,8,13
Shokhin V,5,5,13
Bachtin M,5,7,13
Dennes M,4,4,13
Belyi A,4,4,13
Heisig J,4,4,13
Cox J,4,7,13
Kurennoy V,4,4,13
Jauss H,4,4,13
Krasnikov A,4,4,13
Van Gennep A,4,5,13
Stepin V,4,5,13
Sartr Z,4,4,13
Lotman Y,4,4,13
Canetti E,4,5,13
Gaidenko P,4,4,13
Solovev V,4,4,13
Gracia J,7,8,14
Marias J,7,7,14
Pickard H,5,6,14
Newman J,5,9,14
Schmitz K,5,5,14
Paul J,4,4,14
Brehier E,4,4,14
Gaita R,3,4,14
Jones L,3,4,14
Sapir E,3,4,14
Dupuy B,3,3,14
Collins R,3,3,14
Alexander S,3,3,14
Flajoliet A,3,3,14
Chevalier J,3,3,14
Lacroix J,3,4,14
Jolivet R,3,3,14
Lloyd M,3,3,14
Wynn M,2,2,14
Lavelle L,2,2,14
Mettepenningen J,2,2,14
Chenu M,2,2,14
Presas M,2,2,14
Prechtl P,2,2,14
Delacroix H,2,2,14
Schenck D,2,2,14
Lash N,2,2,14
Graham J,2,2,14
Raley H,2,2,14
Silver P,2,2,14
Tuttle H,2,2,14
Forest A,2,2,14
Nedoncelle M,2,2,14
Walgrave J,2,2,14
Benton T,2,2,14
Norris T,2,2,14
Weigel G,2,2,14
Ortegaygasset J,2,2,14
Salmeron F,2,2,14
Gripaldo R,1,2,15
Quito E,1,3,15
Timbreza F,1,2,15
Demeterio F,0,0,15
James W,162,188,16
Searle J,145,210,16
Dennett D,144,229,16
Mcdowell J,131,187,16
Chalmers D,113,172,16
Nagel T,101,112,16
Tye M,98,159,16
Block N,91,115,16
Fodor J,88,119,16
Hume D,88,104,16
Dretske F,86,112,16
Kriegel U,83,105,16
Horgan T,78,117,16
Peacocke C,76,89,16
Strawson G,75,100,16
Prinz J,75,109,16
Davidson D,71,88,16
Bayne T,68,76,16
Putnam H,68,86,16
Siewert C,67,109,16
Lewis D,67,77,16
Gallagher S,240,350,17
Varela F,136,266,17
Thompson E,112,146,17
Noe A,105,145,17
Clark A,93,107,17
Gibson J,89,102,17
De B,74,81,17
Ratcliffe M,74,107,17
Fuchs T,73,99,17
Damasio A,69,93,17
Jaspers K,65,81,17
Dewey J,54,62,17
Churchland P,47,59,17
Jonas H,47,64,17
Straus E,44,60,17
Petitot J,43,47,17
Sass L,41,79,17
Kuhn T,41,43,17
Binswanger L,39,52,17
Lakoff G,39,47,17
Kant I,378,487,18
Hegel G,300,482,18
Habermas J,96,122,18
Taylor C,89,121,18
Adorno T,81,96,18
Marx K,77,96,18
Rorty R,69,75,18
Hyppolite J,68,76,18
Kojeve A,59,66,18
Pippin R,52,66,18
Fichte J,49,62,18
Brandom R,45,65,18
Marcuse H,41,53,18
Findlay J,40,45,18
Pinkard T,40,50,18
Macintyre A,40,44,18
Schelling F,39,48,18
Honneth A,39,50,18
Dilthey W,36,42,18
De L,35,36,18
